make,year,model,url
ABARTH,1960,1600,"https://www.rockauto.com/en/catalog/abarth,1960,1600"
ABARTH,1960,750,"https://www.rockauto.com/en/catalog/abarth,1960,750"
ABARTH,1960,850,"https://www.rockauto.com/en/catalog/abarth,1960,850"
ABARTH,1959,750,"https://www.rockauto.com/en/catalog/abarth,1959,750"
ABARTH,1956,750,"https://www.rockauto.com/en/catalog/abarth,1956,750"
ABARTH,1952,204,"https://www.rockauto.com/en/catalog/abarth,1952,204"
ABARTH,1952,205,"https://www.rockauto.com/en/catalog/abarth,1952,205"
AC,1961,ACE,"https://www.rockauto.com/en/catalog/ac,1961,ace"
AC,1961,ACECA,"https://www.rockauto.com/en/catalog/ac,1961,aceca"
AC,1961,GREYHOUND,"https://www.rockauto.com/en/catalog/ac,1961,greyhound"
AC,1957,ACE,"https://www.rockauto.com/en/catalog/ac,1957,ace"
AC,1957,ACECA,"https://www.rockauto.com/en/catalog/ac,1957,aceca"
AC,1957,TWO-LITRE,"https://www.rockauto.com/en/catalog/ac,1957,two-litre"
AC,1950,TWO-LITRE,"https://www.rockauto.com/en/catalog/ac,1950,two-litre"
ACURA,2020,ILX,"https://www.rockauto.com/en/catalog/acura,2020,ilx"
ACURA,2020,MDX,"https://www.rockauto.com/en/catalog/acura,2020,mdx"
ACURA,2020,NSX,"https://www.rockauto.com/en/catalog/acura,2020,nsx"
ACURA,2020,RDX,"https://www.rockauto.com/en/catalog/acura,2020,rdx"
ACURA,2020,RLX,"https://www.rockauto.com/en/catalog/acura,2020,rlx"
ACURA,2020,TLX,"https://www.rockauto.com/en/catalog/acura,2020,tlx"
ACURA,2019,ILX,"https://www.rockauto.com/en/catalog/acura,2019,ilx"
ACURA,2019,MDX,"https://www.rockauto.com/en/catalog/acura,2019,mdx"
ACURA,2019,NSX,"https://www.rockauto.com/en/catalog/acura,2019,nsx"
ACURA,2019,RDX,"https://www.rockauto.com/en/catalog/acura,2019,rdx"
ACURA,2019,RLX,"https://www.rockauto.com/en/catalog/acura,2019,rlx"
ACURA,2019,TLX,"https://www.rockauto.com/en/catalog/acura,2019,tlx"
ACURA,2008,CSX,"https://www.rockauto.com/en/catalog/acura,2008,csx"
ACURA,2008,MDX,"https://www.rockauto.com/en/catalog/acura,2008,mdx"
ACURA,2008,RDX,"https://www.rockauto.com/en/catalog/acura,2008,rdx"
ACURA,2008,RL,"https://www.rockauto.com/en/catalog/acura,2008,rl"
ACURA,2008,TL,"https://www.rockauto.com/en/catalog/acura,2008,tl"
ACURA,2008,TSX,"https://www.rockauto.com/en/catalog/acura,2008,tsx"
ACURA,2007,CSX,"https://www.rockauto.com/en/catalog/acura,2007,csx"
ACURA,2007,MDX,"https://www.rockauto.com/en/catalog/acura,2007,mdx"
ACURA,2007,RDX,"https://www.rockauto.com/en/catalog/acura,2007,rdx"
ACURA,2007,RL,"https://www.rockauto.com/en/catalog/acura,2007,rl"
ACURA,2007,TL,"https://www.rockauto.com/en/catalog/acura,2007,tl"
ACURA,2007,TSX,"https://www.rockauto.com/en/catalog/acura,2007,tsx"
ACURA,2004,EL,"https://www.rockauto.com/en/catalog/acura,2004,el"
ACURA,2004,MDX,"https://www.rockauto.com/en/catalog/acura,2004,mdx"
ACURA,2004,NSX,"https://www.rockauto.com/en/catalog/acura,2004,nsx"
ACURA,2004,RL,"https://www.rockauto.com/en/catalog/acura,2004,rl"
ACURA,2004,RSX,"https://www.rockauto.com/en/catalog/acura,2004,rsx"
ACURA,2004,TL,"https://www.rockauto.com/en/catalog/acura,2004,tl"
ACURA,2004,TSX,"https://www.rockauto.com/en/catalog/acura,2004,tsx"
ACURA,1989,INTEGRA,"https://www.rockauto.com/en/catalog/acura,1989,integra"
ACURA,1989,LEGEND,"https://www.rockauto.com/en/catalog/acura,1989,legend"
ACURA,1988,INTEGRA,"https://www.rockauto.com/en/catalog/acura,1988,integra"
ACURA,1988,LEGEND,"https://www.rockauto.com/en/catalog/acura,1988,legend"
ALLARD,1954,J2X,"https://www.rockauto.com/en/catalog/allard,1954,j2x"
ALLARD,1954,K3,"https://www.rockauto.com/en/catalog/allard,1954,k3"
ALLARD,1954,MONTE CARLO,"https://www.rockauto.com/en/catalog/allard,1954,monte+carlo"
ALLARD,1954,PALM BEACH,"https://www.rockauto.com/en/catalog/allard,1954,palm+beach"
ALLARD,1954,SAFARI,"https://www.rockauto.com/en/catalog/allard,1954,safari"
ALLARD,1953,J2X,"https://www.rockauto.com/en/catalog/allard,1953,j2x"
ALLARD,1953,K3,"https://www.rockauto.com/en/catalog/allard,1953,k3"
ALLARD,1953,MONTE CARLO,"https://www.rockauto.com/en/catalog/allard,1953,monte+carlo"
ALLARD,1953,PALM BEACH,"https://www.rockauto.com/en/catalog/allard,1953,palm+beach"
ALLARD,1953,SAFARI,"https://www.rockauto.com/en/catalog/allard,1953,safari"
ALLARD,1952,J2X,"https://www.rockauto.com/en/catalog/allard,1952,j2x"
ALLARD,1952,K3,"https://www.rockauto.com/en/catalog/allard,1952,k3"
ALLARD,1952,MONTE CARLO,"https://www.rockauto.com/en/catalog/allard,1952,monte+carlo"
ALLARD,1952,PALM BEACH,"https://www.rockauto.com/en/catalog/allard,1952,palm+beach"
ALLARD,1952,SAFARI,"https://www.rockauto.com/en/catalog/allard,1952,safari"
ALLSTATE,1952,A-230,"https://www.rockauto.com/en/catalog/allstate,1952,a-230"
ALLSTATE,1952,A-240,"https://www.rockauto.com/en/catalog/allstate,1952,a-240"
ALPINE,1972,A310,"https://www.rockauto.com/en/catalog/alpine,1972,a310"
ALPINE,1965,A110,"https://www.rockauto.com/en/catalog/alpine,1965,a110"
ALVIS,1967,TF21,"https://www.rockauto.com/en/catalog/alvis,1967,tf21"
ALVIS,1964,TE21,"https://www.rockauto.com/en/catalog/alvis,1964,te21"
ALVIS,1958,TD21,"https://www.rockauto.com/en/catalog/alvis,1958,td21"
AM GENERAL,1974,DJ5,"https://www.rockauto.com/en/catalog/am+general,1974,dj5"
AM GENERAL,1974,FJ8,"https://www.rockauto.com/en/catalog/am+general,1974,fj8"
AMERICAN AUSTIN,1934,AMERICAN AUSTIN,"https://www.rockauto.com/en/catalog/american+austin,1934,american+austin"
AMERICAN MOTORS,1960,AMBASSADOR,"https://www.rockauto.com/en/catalog/american+motors,1960,ambassador"
AMERICAN MOTORS,1960,AMERICAN,"https://www.rockauto.com/en/catalog/american+motors,1960,american"
AMERICAN MOTORS,1960,RAMBLER,"https://www.rockauto.com/en/catalog/american+motors,1960,rambler"
AMERICAN MOTORS,1960,REBEL,"https://www.rockauto.com/en/catalog/american+motors,1960,rebel"
AMERICAN MOTORS,1959,AMBASSADOR,"https://www.rockauto.com/en/catalog/american+motors,1959,ambassador"
AMERICAN MOTORS,1959,AMERICAN,"https://www.rockauto.com/en/catalog/american+motors,1959,american"
AMERICAN MOTORS,1959,RAMBLER,"https://www.rockauto.com/en/catalog/american+motors,1959,rambler"
AMERICAN MOTORS,1959,REBEL,"https://www.rockauto.com/en/catalog/american+motors,1959,rebel"
AMPHICAR,1968,770,"https://www.rockauto.com/en/catalog/amphicar,1968,770"
ARMSTRONG-SIDDELEY,1960,SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1960,sapphire"
ARMSTRONG-SIDDELEY,1960,STAR SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1960,star+sapphire"
ARMSTRONG-SIDDELEY,1958,SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1958,sapphire"
ARMSTRONG-SIDDELEY,1958,STAR SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1958,star+sapphire"
ARMSTRONG-SIDDELEY,1957,SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1957,sapphire"
ARMSTRONG-SIDDELEY,1956,SAPPHIRE,"https://www.rockauto.com/en/catalog/armstrong-siddeley,1956,sapphire"
ARNOLT-BRISTOL,1957,BOLIDE,"https://www.rockauto.com/en/catalog/arnolt-bristol,1957,bolide"
ARNOLT-BRISTOL,1957,DELUXE,"https://www.rockauto.com/en/catalog/arnolt-bristol,1957,deluxe"
ASTON MARTIN,2024,DB12,"https://www.rockauto.com/en/catalog/aston+martin,2024,db12"
ASTON MARTIN,2024,DBS,"https://www.rockauto.com/en/catalog/aston+martin,2024,dbs"
ASTON MARTIN,2024,DBX,"https://www.rockauto.com/en/catalog/aston+martin,2024,dbx"
ASTON MARTIN,2024,DBX707,"https://www.rockauto.com/en/catalog/aston+martin,2024,dbx707"
ASTON MARTIN,2024,VALOUR,"https://www.rockauto.com/en/catalog/aston+martin,2024,valour"
ASTON MARTIN,2024,VANTAGE,"https://www.rockauto.com/en/catalog/aston+martin,2024,vantage"
ASTON MARTIN,2018,DB11,"https://www.rockauto.com/en/catalog/aston+martin,2018,db11"
ASTON MARTIN,2018,RAPIDE,"https://www.rockauto.com/en/catalog/aston+martin,2018,rapide"
ASTON MARTIN,2018,VANQUISH,"https://www.rockauto.com/en/catalog/aston+martin,2018,vanquish"
ASTON MARTIN,2018,VANTAGE,"https://www.rockauto.com/en/catalog/aston+martin,2018,vantage"
ASTON MARTIN,2015,DB9,"https://www.rockauto.com/en/catalog/aston+martin,2015,db9"
ASTON MARTIN,2015,RAPIDE,"https://www.rockauto.com/en/catalog/aston+martin,2015,rapide"
ASTON MARTIN,2015,V12 VANTAGE,"https://www.rockauto.com/en/catalog/aston+martin,2015,v12+vantage"
ASTON MARTIN,2015,V8 VANTAGE,"https://www.rockauto.com/en/catalog/aston+martin,2015,v8+vantage"
ASTON MARTIN,2015,VANQUISH,"https://www.rockauto.com/en/catalog/aston+martin,2015,vanquish"
ASTON MARTIN,2001,DB7,"https://www.rockauto.com/en/catalog/aston+martin,2001,db7"
ASTON MARTIN,2001,VANQUISH,"https://www.rockauto.com/en/catalog/aston+martin,2001,vanquish"
ASTON MARTIN,1994,VIRAGE,"https://www.rockauto.com/en/catalog/aston+martin,1994,virage"
ASTON MARTIN,1989,LAGONDA,"https://www.rockauto.com/en/catalog/aston+martin,1989,lagonda"
ASTON MARTIN,1989,V-8,"https://www.rockauto.com/en/catalog/aston+martin,1989,v-8"
ASTON MARTIN,1989,VIRAGE,"https://www.rockauto.com/en/catalog/aston+martin,1989,virage"
